titulo,autor,editora,media_avaliacao,total_avaliacoes,genero_literario,grau_popularidade
Um Lugar Bem Longe Daqui,Delia Owens,Intrínseca,4.3,2,Suspense,Baixa
O Homem de Giz,C.J. Tudor,Intrínseca,3.8,14,Suspense,Baixa
Pequenos incêndios por toda parte, Celeste Ng ,Intrínseca,4.0,4,Suspense,Baixa
Tudo o que nunca contei, Celeste Ng ,Intrínseca,4.1,2,Suspense,Baixa
A essência do mal,Luca D'Andrea,Intrínseca,3.7,696,Suspense,Baixa
Uma Casa No Fundo de Um Lago,Josh Malerman,Intrínseca,3.0,4,Suspense,Baixa
O Homem de Giz,C.J. Tudor,Intrínseca,3.8,14,Suspense,Baixa
Objetos Cortantes,Gillian Flynn,Intrínseca,4.2,13,Suspense,Baixa
O Desaparecimento de Stephanie Mailer,Joël Dicker,Intrínseca,4.3,1,Suspense,Baixa
As Viúvas,Lynda La Plante,Intrínseca,4.0,288,Suspense,Baixa
O caso da mansão Deboën,Edgar Cantero,Intrínseca,3.5,497,Suspense,Baixa
Eu Sei Onde Você Está,Claire Kendal,Intrínseca,3.5,565,Suspense,Baixa
Tudo o que nunca contei, Celeste Ng ,Intrínseca,4.1,2,Suspense,Baixa
Deixei Você Ir,Clare Mackintosh,Intrínseca,4.2,759,Suspense,Baixa
Deixei Você Ir (e-Book),Clare Mackintosh,Intrínseca,4.2,759,Suspense,Baixa
Tudo o que nunca contei, Celeste Ng ,Intrínseca,4.1,2,Suspense,Baixa
Antes da Queda,Noah Hawley,Intrínseca,3.4,330,Suspense,Baixa
Eu Sei Onde Você Está,Claire Kendal,Intrínseca,3.5,565,Suspense,Baixa
A Vida Que Enterramos,Allen Eskens,Intrínseca,4.2,471,Suspense,Baixa
A Vida Que Enterramos,Allen Eskens,Intrínseca,4.2,471,Suspense,Baixa
Lugar Nenhum,Neil Gaiman,Intrínseca,4.2,5,Suspense,Baixa
O demônio na Cidade Branca,Erik Larson,Intrínseca,3.9,284,Suspense,Baixa
Colheita,James Frey,Intrínseca,3.4,43,Suspense,Baixa
Temporada de acidentes,Moïra Fowley-Doyle,Intrínseca,3.6,1,Suspense,Baixa
Caixa de Pássaros,Josh Malerman,Intrínseca,4.2,32,Suspense,Baixa
Objetos Cortantes ,Gillian Flynn,Intrínseca,4.2,13,Suspense,Baixa
Gelo Negro,Becca Fitzpatrick,Intrínseca,4.1,4,Suspense,Baixa
Lugares Escuros,Gillian Flynn,Intrínseca,4.0,4,Suspense,Baixa
A Febre,Megan Abbott ,Intrínseca,2.9,977,Suspense,Baixa
Lugares Escuros,Gillian Flynn,Intrínseca,4.0,4,Suspense,Baixa
Caixa de Pássaros,Josh Malerman,Intrínseca,4.2,32,Suspense,Baixa
Sharp Objects: Objetos Cortantes,Gillian Flynn,Intrínseca,4.2,1,Suspense,Baixa
Caixa de Pássaros: Bird Box,Josh Malerman,Intrínseca,4.2,32,Suspense,Baixa
Homeland: Como Tudo Começou,Andrew Kaplan,Intrínseca,3.8,256,Suspense,Baixa
Restos Humanos,Elizabeth Haynes,Intrínseca,3.6,1,Suspense,Baixa
O Rei de Amarelo,Robert W. Chambers,Intrínseca,3.6,3,Suspense,Baixa
A Mulher Silenciosa,A.S.A. Harrison,Intrínseca,3.3,1,Suspense,Baixa
O Inverno de Frankie Machine,Don Winslow,Intrínseca,4.1,147,Suspense,Baixa
Garota Exemplar,Gillian Flynn,Intrínseca,4.3,23,Suspense,Baixa
A Marca de Atena,Rick Riordan,Intrínseca,4.5,29,Suspense,Baixa
Fantasma,Jason Reynolds,Intrínseca,3.7,6,Suspense,Baixa
O Rei de Amarelo,Robert W. Chambers,Intrínseca,3.6,3,Suspense,Baixa
A Casa de Hades,Rick Riordan,Intrínseca,4.6,24,Suspense,Baixa
Garota Exemplar,Gillian Flynn,Intrínseca,4.3,23,"O Problema É: Se Não Foi Nick, Onde Está Amy? E Por Que Todas As Pistas Apontam Para Ele?Suspense E Mistério",Baixa
A Marca de Atena,Rick Riordan,Intrínseca,4.5,29,Suspense,Baixa
Alfred Hitchcock e os bastidores de Psicose,Stephen Rebello ,Intrínseca,4.1,395,Suspense,Baixa
No Escuro,Elizabeth Haynes,Intrínseca,4.4,3,Suspense,Baixa
Garota Exemplar,Gillian Flynn,Intrínseca,4.3,23,"O Problema É: Se Não Foi Nick, Onde Está Amy? E Por Que Todas As Pistas Apontam Para Ele?Suspense E Mistério",Baixa
A Síndrome E,Franck Thilliez,Intrínseca,4.1,825,Suspense,Baixa
Kings of Cool,Don Winslow,Intrínseca,4.1,202,Suspense,Baixa
Gataca,Franck Thilliez,Intrínseca,4.4,442,Suspense,Baixa
Vingança da Maré,Elizabeth Haynes,Intrínseca,3.3,570,Suspense,Baixa
O Jantar,Herman Koch,Intrínseca,3.4,658,Suspense,Baixa
Finale,Becca Fitzpatrick,Intrínseca,4.3,18,Suspense,Baixa
Amanhecer,Stephenie Meyer,Intrínseca,3.9,82,Suspense,Baixa
O Circo da Noite,Erin Morgenstern,Intrínseca,4.0,4,Suspense,Baixa
Tão Mais Bonita,Cara Hoffman,Intrínseca,3.2,267,Suspense,Baixa
Os deixados para trás,Tom Perrotta,Intrínseca,3.4,701,Suspense,Baixa
Os deixados para trás,Tom Perrotta,Intrínseca,3.4,701,Suspense,Baixa
O Circo da Noite,Erin Morgenstern,Intrínseca,4.0,4,Suspense,Baixa
Selvagens,Don Winslow,Intrínseca,3.8,987,Suspense,Baixa
Argo,Antonio Mendez,Intrínseca,3.5,527,Suspense,Baixa
Amanhecer,Stephenie Meyer,Intrínseca,3.9,82,Suspense,Baixa
O Pesadelo,Lars Kepler,Intrínseca,3.7,726,Suspense,Baixa
O Hipnotista,Lars Kepler,Intrínseca,3.7,2,Suspense,Baixa
Ratos,Gordon Reece,Intrínseca,4.0,2,Suspense,Baixa
Bela Maldade,Rebecca James,Intrínseca,4.0,3,Suspense,Baixa
Amanhecer,Stephenie Meyer,Intrínseca,3.9,82,Suspense,Baixa
Amanhecer,Stephenie Meyer,Intrínseca,3.9,82,Suspense,Baixa
Uma Crença Silenciosa em Anjos,R. J. Ellory ,Intrínseca,4.1,880,Suspense,Baixa
Amanhecer,Stephenie Meyer,Intrínseca,3.9,82,Suspense,Baixa
Amanhecer ,Stephenie Meyer,Intrínseca,3.9,82,Suspense,Baixa
A exceção,Christian Jungersen,Intrínseca,3.6,188,Suspense,Baixa
O Demônio e a Srta. Prym,Paulo Coelho,Sextante,3.5,6,Suspense,Baixa
O Pacto,Joe Hill,Arqueiro,4.0,5,Suspense,Baixa
Julieta,Anne Fortier,"Arqueiro,",4.4,5,Suspense,Baixa
O Símbolo Perdido,Dan Brown,Sextante,4.1,41,Suspense,Baixa
O Símbolo Perdido,Dan Brown,Sextante,4.1,41,Suspense,Baixa
Anjos e Demônios,Dan Brown,Sextante,4.3,63,Suspense,Baixa
Confie em Mim,Harlan Coben,Arqueiro,4.2,11,Suspense,Baixa
O Símbolo Perdido,Dan Brown,Sextante,4.1,41,Suspense,Baixa
Não Conte a Ninguém,Harlan Coben,Arqueiro,4.2,19,Suspense,Baixa
Desaparecido Para Sempre,Harlan Coben,Sextante,4.4,6,Suspense,Baixa
O Símbolo Perdido,Dan Brown,Sextante,4.1,41,Suspense,Baixa
Xógum,James Clavell,Sextante,4.6,1,Suspense,Baixa
Caim e Abel,Jeffrey Archer,Sextante,4.4,646,Suspense,Baixa
Ponto de Impacto,Dan Brown,Sextante,4.0,31,Suspense,Baixa
Anjos e Demônios,Dan Brown,Sextante,4.3,63,Suspense,Baixa
O Código Da Vinci,Dan Brown,Sextante,4.1,79,Suspense,Baixa
Ponto de Impacto,Dan Brown,Arqueiro,4.0,31,Suspense,Baixa
O Código Da Vinci,Dan Brown,Sextante,4.1,79,Suspense,Baixa
Anjos e Demônios,Dan Brown,Sextante,4.3,63,Suspense,Baixa
Palácio da traição,Jason Matthews,Editora,4.0,36,Suspense,Baixa
Não Há Segunda Chance,Harlan Coben,Arqueiro,4.3,851,Suspense,Baixa
Não fale com estranhos,Harlan Coben,Editora,4.1,3,Suspense,Baixa
A prisioneira do tempo,Kate Morton,Editora,4.1,137,Suspense,Baixa
A Gaiola de Ouro,Camilla Läckberg,Arqueiro,3.9,671,Suspense,Baixa
Custe O Que Custar,Harlan Coben,Arqueiro,4.4,124,Suspense,Baixa
Desaparecido para Sempre,Harlan Coben,Arqueiro,4.4,6,Suspense,Baixa
Custe O Que Custar,Harlan Coben,Arqueiro,4.4,124,Suspense,Baixa
A Origem,Dan Brown,Arqueiro,4.1,7,Suspense,Baixa
A Caça,M.A. Bennett,Arqueiro,3.6,587,Suspense,Baixa
Até o Fim,Harlan Coben,Arqueiro,4.1,1,Suspense,Baixa
A Carta Secreta,Lucinda Riley,Arqueiro,4.2,493,Suspense,Baixa
Tripla espionagem,Ken Follett,Editora,3.9,339,Suspense,Baixa
Não conte a ninguém,Harlan Coben,Arqueiro,4.2,19,Suspense,Baixa
Quando ela se foi,Harlan Coben,Arqueiro,4.1,5,Suspense,Baixa
Marionete,Daniel Cole,Arqueiro,4.0,348,Suspense,Baixa
Alta Tensão,Harlan Coben,Arqueiro,4.2,4,Suspense,Baixa
Confie em Mim,Harlan Coben,Arqueiro,4.2,11,Suspense,Baixa
A Firma,John Grisham,Arqueiro,4.0,1,Suspense,Baixa
Cilada,Harlan Coben,Arqueiro,4.4,8,Suspense,Baixa
Uma Fortuna Perigosa,Ken Follett,Arqueiro,4.2,523,Suspense,Baixa
Quebra de Confiança,Harlan Coben,Arqueiro,4.3,3,Suspense,Baixa
Apenas Um Olhar,Harlan Coben,Arqueiro,4.2,1,Suspense,Baixa
Acerto de Contas,John Grisham,Arqueiro,3.3,81,Suspense,Baixa
O Golpe,Christopher Reich,Arqueiro,3.9,59,Suspense,Baixa
