autor,titulo,abandonos,relendo,querem_ler,lendo,leram,genero_literario,genero,grau_popularidade
Harlan Coben,Cilada,155,10,7,295,13,Suspense,Feminino,Baixa
Ken Follett,Uma Fortuna Perigosa,11,0,1,33,811,Suspense,Feminino,Baixa
Harlan Coben,Quebra de Confiança,38,5,4,145,6,Suspense,Feminino,Baixa
Harlan Coben,Apenas Um Olhar,15,0,2,86,1,Suspense,Feminino,Baixa
John Grisham,Acerto de Contas,2,0,528,12,84,Suspense,Feminino,Baixa
Christopher Reich,O Golpe,1,0,478,10,68,Suspense,Feminino,Baixa
A.J. Finn,A mulher na janela,221,8,11,831,12,Suspense,Feminino,Baixa
A.J. Finn,A Mulher Na Janela,221,8,11,831,12,Suspense,Feminino,Baixa
Jason Matthews,Operação Red Sparrow,157,1,3,162,1,Suspense,Feminino,Baixa
Ken Follett,Contagem Regressiva,7,1,1,30,801,Suspense,Feminino,Baixa
Harlan Coben,Volta Para Casa,7,0,2,44,1,Suspense,Feminino,Baixa
Kate Morton,O Jardim Esquecido,12,1,2,42,685,Suspense,Feminino,Baixa
Ken Follett,O Buraco da Agulha,58,2,3,137,3,Suspense,Feminino,Baixa
Michel Bussi,Ninfeias Negras,50,1,3,99,1,Suspense,Feminino,Baixa
Harlan Coben,A Promessa,13,5,5,67,2,Suspense,Feminino,Baixa
Ken Follett,A Chave de Rebecca,28,1,2,49,1,Suspense,Feminino,Baixa
Harlan Coben,A Grande Ilusão,7,2,2,77,2,Suspense,Feminino,Baixa
Kate Morton,A Casa do Lago,27,0,2,50,605,Suspense,Feminino,Baixa
Dan Brown,Origem,155,15,8,931,11,Suspense,Feminino,Baixa
Harlan Coben,Não Fale Com Estranhos,46,3,4,196,4,Suspense,Feminino,Baixa
Dan Brown,O Código Da Vinci,4,179,75,2,276,Suspense,Feminino,Baixa
Ken Follett,O Homem de São Petersburgo,11,1,2,51,1,Suspense,Feminino,Baixa
Joe Hill,Amaldiçoado ,283,13,5,290,8,Suspense,Feminino,Baixa
Harlan Coben,A Toda Prova,9,1,1,14,1,Suspense,Feminino,Baixa
Harlan Coben,Que Falta Você Me Faz,21,2,3,108,2,Suspense,Feminino,Baixa
Chris Pavone,O Manuscrito,38,1,441,26,247,Suspense,Feminino,Baixa
James Patterson,Zoo,18,2,1,44,870,Suspense,Feminino,Baixa
Daniel Silva,A Garota Inglesa,8,0,423,15,233,Suspense,Feminino,Baixa
Harlan Coben,Detalhe Final,7,1,1,41,1,Suspense,Feminino,Baixa
John Sandford,Terra Sem Lei,2,1,264,5,168,Suspense,Feminino,Baixa
Jason Matthews,Roleta Russa,157,1,3,162,1,Suspense,Feminino,Baixa
Anne Fortier,Julieta,356,22,4,415,8,Suspense,Feminino,Baixa
Kimberly McCreight,Reconstruindo Amelia,57,0,3,111,3,Suspense,Feminino,Baixa
Joe Hill,Nosferatu,59,4,3,231,2,Suspense,Feminino,Baixa
Daniel Silva,O Desertor,1,0,256,15,166,Suspense,Feminino,Baixa
James Patterson,"Corra, Alex Cross",7,0,584,18,496,Suspense,Feminino,Baixa
Harlan Coben,Um Passo em Falso,7,3,1,50,1,Suspense,Feminino,Baixa
Dan Brown,Inferno,1,58,23,2,45,Suspense,Feminino,Baixa
James Patterson,Lua de Mel,13,0,855,23,1,Suspense,Feminino,Baixa
Dan Brown,Inferno,1,58,23,2,45,Suspense,Feminino,Baixa
Harlan Coben,O Preço da Vitória,10,2,2,37,2,Suspense,Feminino,Baixa
John Sandford,Noite de Tempestade,13,0,504,10,267,Suspense,Feminino,Baixa
Daniel Silva,Retrato de Uma Espiã,2,1,398,12,210,Suspense,Feminino,Baixa
James Patterson,8ª Confissão,4,0,734,14,553,Suspense,Feminino,Baixa
Harlan Coben,Uma Questão de Segundos,13,3,1,46,2,Suspense,Feminino,Baixa
Harlan Coben,O Inocente,28,5,3,113,3,Suspense,Feminino,Baixa
John Sandford,A Sombra da Lua,19,0,631,18,546,Suspense,Feminino,Baixa
Harlan Coben,Jogada Mortal,26,1,2,71,4,Suspense,Feminino,Baixa
James Patterson,6º Alvo,3,0,958,17,807,Suspense,Feminino,Baixa
Gregg Hurwitz,Você Está Sendo Vigiado,31,0,1,41,1,Suspense,Feminino,Baixa
Harlan Coben,Refúgio,26,4,3,73,4,Suspense,Feminino,Baixa
Daniel Silva,O Caso Rembrandt,15,0,510,14,401,Suspense,Feminino,Baixa
James Patterson,7° Céu,5,0,951,15,872,Suspense,Feminino,Baixa
Dan Brown,O Código Da Vinci,4,179,75,2,276,Suspense,Feminino,Baixa
Harlan Coben,Quando Ela Se Foi,141,13,5,268,10,Suspense,Feminino,Baixa
James Patterson,4 de Julho,26,0,1,42,2,Suspense,Feminino,Baixa
Harlan Coben,Alta Tensão,122,5,5,224,7,Suspense,Feminino,Baixa
Harlan Coben,Quebra de Confiança,38,5,4,145,6,Suspense,Feminino,Baixa
James Patterson,5º Cavaleiro,7,0,1,26,1,Suspense,Feminino,Baixa
Harlan Coben,Cilada,155,10,7,295,13,Suspense,Feminino,Baixa
Anne Fortier,Julieta,356,22,4,415,8,Suspense,Feminino,Baixa
Harlan Coben,Desaparecido Para Sempre,122,13,6,294,11,Suspense,Feminino,Baixa
Dan Brown,O Símbolo Perdido,1,112,66,2,129,Suspense,Feminino,Baixa
Joe Hill,A Estrada da Noite,880,20,6,583,15,Suspense,Feminino,Baixa
Dan Brown,Ponto De Impacto,1,38,33,1,92,Suspense,Feminino,Baixa
Dan Brown,Anjos e Demônios,2,131,65,2,207,Suspense,Feminino,Baixa
Colleen Hoover,Verity,25,3,8,285,9,Suspense,Feminino,Baixa
Colleen Hoover,Verity,25,3,8,285,9,Suspense,Feminino,Baixa
Rory Power,Meninas Selvagens,19,1,3,105,524,Suspense,Feminino,Baixa
Rory Power,Meninas selvagens,19,1,3,105,524,Suspense,Feminino,Baixa
A. J. Rich,A mão que te alimenta,12,0,2,25,727,Suspense,Feminino,Baixa
Colleen Hoover,Nunca Jamais,5,1,2,23,1,Suspense,Feminino,Baixa
Melissa E. Hurst,À Beira da Eternidade,2,0,1,10,206,Suspense,Feminino,Baixa
Karen M. McManus,Mortos Não Contam Segredos,12,1,4,58,1,Suspense,Feminino,Baixa
Karen M. McManus,Um de Nós Está Mentindo,203,9,13,540,10,Suspense,Feminino,Baixa
Andrea Portes,Liberdade,1,0,74,2,15,Suspense,Feminino,Baixa
John Bellairs,O Mistério do Relógio na Parede,6,1,422,19,711,Suspense,Feminino,Baixa
Meg Cabot,A Terra das Sombras,285,81,7,320,42,Suspense,Feminino,Baixa
Kami Garcia,Imaculada,1,0,324,7,129,Suspense,Feminino,Baixa
Tony Abbott,A Pedra Proibida,1,0,170,4,13,Suspense,Feminino,Baixa
Maureen Johnson,Férias Infernais (Vacations from hell),15,1,1,42,787,Suspense,Feminino,Baixa
Michelle Hodkin,A Vingança de Mara Dyer,21,1,2,51,3,Suspense,Feminino,Baixa
Rob Reger,"Emily, The Strange: Duas Vezes Estranha",4,1,645,10,119,Suspense,Feminino,Baixa
Kami Garcia,Inquebrável ,4,1,614,13,439,Suspense,Feminino,Baixa
Jessica Warman,Limiar,8,1,960,22,529,Suspense,Feminino,Baixa
Rob Reger,"Emily, The Strange: Os Dias Perdidos",16,2,1,26,541,Suspense,Feminino,Baixa
Scott Westerfeld,Amores Infernais,61,4,2,86,3,Suspense,Feminino,Baixa
Kristin Cast,Beijos Infernais (Kisses from hell),40,3,2,61,2,Suspense,Feminino,Baixa
Meg Cabot,Formaturas Infernais (Prom nights from hell),1,44,9,497,51,Suspense,Feminino,Baixa
L. J. Smith,A Fúria,613,26,8,295,52,Suspense,Feminino,Baixa
Brian James,Louras Zumbis,17,0,809,9,797,Suspense,Feminino,Baixa
L. J. Smith,O Despertar,1,91,8,830,103,Suspense,Feminino,Baixa
L. J. Smith,O Confronto,741,36,7,412,63,Suspense,Feminino,Baixa
Meg Cabot,A Terra das Sombras,285,81,7,320,42,Suspense,Feminino,Baixa
Meg Cabot,A Terra das Sombras,285,81,7,320,42,Suspense,Feminino,Baixa
Brittany Cavallaro,O Desgosto de August,0,0,646,11,57,Suspense,Feminino,Baixa
Benjamin Black,Morte No Verão,1,0,479,5,2,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e o Cálice de Fogo,1,700,86,4,350,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e a Ordem da Fênix,1,629,94,4,327,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e o Enigma do Príncipe,606,481,99,2,326,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e as Relíquias da Morte,715,688,101,2,320,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e o Prisioneiro de Azkaban,737,609,58,3,376,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e a Câmara Secreta,954,762,40,4,400,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e a Pedra Filosofal,1,1,50,6,466,Suspense,Feminino,Baixa
Rebecca Scherm,Ponto Cego,2,0,358,5,9,Suspense,Feminino,Baixa
Sara Shepard,Os Amadores,0,1,252,4,58,Suspense,Feminino,Baixa
Brittany Cavallaro,Um Estudo em Charlotte,39,1,2,75,923,Suspense,Feminino,Baixa
Sandra Brown,Letal,1,0,213,5,133,Suspense,Feminino,Baixa
Monica Hesse,A Garota do Casaco Azul,2,1,1,12,75,Suspense,Feminino,Baixa
Robert Galbraith,Branco Letal,9,0,1,120,1,Suspense,Feminino,Baixa
Robert Galbraith,Branco Letal,9,0,1,120,1,Suspense,Feminino,Baixa
Ruth Ware,O Jogo da Mentira,7,0,1,14,241,Suspense,Feminino,Baixa
Sloane Crosley,O Fecho,0,0,476,1,1,Suspense,Feminino,Baixa
Karen Hamilton,A Namorada Perfeita,0,0,745,2,86,Suspense,Feminino,Baixa
Sophie Hannah,O Portador,1,0,472,0,9,Suspense,Feminino,Baixa
Caroline Kepnes,Corpos Ocultos,8,0,1,47,314,Suspense,Feminino,Baixa
Caroline Kepnes,Você,160,3,2,230,2,Suspense,Feminino,Baixa
Anne Rice,Príncipe Lestat e Os Reinos de Atlântida,1,0,1,27,129,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e o Prisioneiro de Azkaban,737,609,58,3,376,Suspense,Feminino,Baixa
Mindy Mejia,Tudo Que Você Quiser Que Eu Seja,2,0,1,11,195,Suspense,Feminino,Baixa
Henry Fielding,Tom Jones,43,1,927,58,513,Suspense,Feminino,Baixa
James Rollins,Sangue Inocente,3,0,1,21,106,Suspense,Feminino,Baixa
Tana French,O Canto dos Segredos,1,0,221,9,78,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e a Câmara Secreta,954,762,40,4,400,Suspense,Feminino,Baixa
Elizabeth Little,Querida Filha,1,0,201,6,62,Suspense,Feminino,Baixa
Tom Cooper,Os Saqueadores,0,0,97,1,6,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e a Pedra Filosofal,1,1,50,6,466,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e a Câmara Secreta,954,762,40,4,400,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e o Cálice de Fogo,1,700,86,4,350,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e a Ordem da Fênix,1,629,94,4,327,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e o Enigma do Príncipe,606,481,99,2,326,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e as Relíquias da Morte,715,688,101,2,320,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e a Pedra Filosofal,1,1,50,6,466,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e a Câmara Secreta,954,762,40,4,400,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e a Ordem da Fênix,1,629,94,4,327,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e as Relíquias da Morte,715,688,101,2,320,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e o Cálice de Fogo,1,700,86,4,350,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e o Prisioneiro de Azkaban,737,609,58,3,376,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e a Câmara Secreta,954,762,40,4,400,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e o Prisioneiro de Azkaban,737,609,58,3,376,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e a Ordem da Fênix,1,629,94,4,327,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e o Enigma do Príncipe,606,481,99,2,326,Suspense,Feminino,Baixa
Ruth Ware,A Mulher Na Cabine 10,92,0,4,191,3,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e a Pedra Filosofal ,1,1,50,6,466,Suspense,Feminino,Baixa
Jessica Knoll,Uma garota de Muita Sorte,6,0,444,11,155,Suspense,Feminino,Baixa
Sophie Hannah,A Outra Casa,2,0,660,13,197,Suspense,Feminino,Baixa
Ruth Ware,Em Um Bosque Muito Escuro,4,0,2,15,631,Suspense,Feminino,Baixa
Sara Shepard,Os Segredos de Ali,11,0,967,30,626,Suspense,Feminino,Baixa
Sara Shepard,Arrasadoras,1,0,1,13,704,Suspense,Feminino,Baixa
Copi,O uruguaio,0,0,73,3,12,Suspense,Feminino,Baixa
Sara Shepard,Caça ao Tesouro,2,0,511,2,310,Suspense,Feminino,Baixa
Maureen Johnson,O Nome da Estrela (The Name of the Star),15,1,946,27,581,Suspense,Feminino,Baixa
Sara Shepard,Letais,1,0,1,8,563,Suspense,Feminino,Baixa
Sara Shepard,Implacáveis,10,3,1,14,1,Suspense,Feminino,Baixa
Sara Shepard,Estonteantes,2,0,1,18,913,Suspense,Feminino,Baixa
James Rollins,O Evangelho de Sangue,1,1,578,36,248,Suspense,Feminino,Baixa
Sara Shepard,Devastadoras,2,0,1,14,819,Suspense,Feminino,Baixa
Caroline Kepnes,Você,160,3,2,230,2,Suspense,Feminino,Baixa
Sara Shepard,Os Segredos Mais Secretos das Pretty Little Liars,40,0,1,40,1,Suspense,Feminino,Baixa
Sara Shepard,Traiçoeiras,9,0,1,23,1,Suspense,Feminino,Baixa
Sir Walter Scott,O Talismã,3,0,78,0,37,Suspense,Feminino,Baixa
Sara Shepard,Impiedosas,28,1,2,47,3,Suspense,Feminino,Baixa
Duane Swierczynski,A Loura,1,1,29,0,10,Suspense,Feminino,Baixa
Chuck Hogan,Noite Eterna,7,0,1,35,1,Suspense,Feminino,Baixa
Sara Shepard,Perigosas,27,0,2,32,2,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e As Relíquias da Morte,715,688,101,2,320,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e o Enigma do Príncipe,606,481,99,2,326,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e a Ordem da Fênix,1,629,94,4,327,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e o Cálice De Fogo,1,700,86,4,350,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e o Prisioneiro de Azkaban,737,609,58,3,376,Suspense,Feminino,Baixa
Ken Follett,Os Pilares da Terra,174,17,8,822,6,Suspense,Feminino,Baixa
Sara Shepard,Impecáveis,201,3,3,209,9,Suspense,Feminino,Baixa
Ildefonso Falcones,A Mão de Fátima,4,0,261,11,119,Suspense,Feminino,Baixa
