autor,titulo,abandonos,relendo,querem_ler,lendo,leram,genero_literario,genero,grau_popularidade
Allen Eskens,A Vida Que Enterramos,4,2,1,24,568,Suspense,Feminino,Baixa
Allen Eskens,A Vida Que Enterramos,4,2,1,24,568,Suspense,Feminino,Baixa
Neil Gaiman,Lugar Nenhum,218,20,9,468,8,Suspense,Feminino,Baixa
Erik Larson,O demônio na Cidade Branca,34,0,1,77,386,Suspense,Feminino,Baixa
James Frey,Colheita,0,0,175,1,49,Suspense,Feminino,Baixa
Moïra Fowley-Doyle,Temporada de acidentes,38,0,2,62,2,Suspense,Feminino,Baixa
Josh Malerman,Caixa de Pássaros,651,42,24,1,46,Suspense,Feminino,Baixa
Gillian Flynn,Objetos Cortantes ,200,11,17,718,19,Suspense,Feminino,Baixa
Becca Fitzpatrick,Gelo Negro,73,7,5,149,5,Suspense,Feminino,Baixa
Gillian Flynn,Lugares Escuros,167,3,7,333,6,Suspense,Feminino,Baixa
Megan Abbott ,A Febre,88,2,1,62,1,Suspense,Feminino,Baixa
Gillian Flynn,Lugares Escuros,167,3,7,333,6,Suspense,Feminino,Baixa
Josh Malerman,Caixa de Pássaros,651,42,24,1,46,Suspense,Feminino,Baixa
Gillian Flynn,Sharp Objects: Objetos Cortantes,11,1,852,61,1,Suspense,Feminino,Baixa
Josh Malerman,Caixa de Pássaros: Bird Box,651,42,24,1,46,Suspense,Feminino,Baixa
Andrew Kaplan,Homeland: Como Tudo Começou,26,0,456,35,395,Suspense,Feminino,Baixa
Elizabeth Haynes,Restos Humanos,75,3,2,65,1,Suspense,Feminino,Baixa
Robert W. Chambers,O Rei de Amarelo,341,6,4,569,4,Suspense,Feminino,Baixa
A.S.A. Harrison,A Mulher Silenciosa,95,2,2,103,2,Suspense,Feminino,Baixa
Don Winslow,O Inverno de Frankie Machine,8,0,358,7,195,Suspense,Feminino,Baixa
Gillian Flynn,Garota Exemplar,1,25,43,2,36,Suspense,Feminino,Baixa
Rick Riordan,A Marca de Atena,472,90,56,1,57,Suspense,Feminino,Baixa
Jason Reynolds,Fantasma,1,1,36,2,12,Suspense,Feminino,Baixa
Robert W. Chambers,O Rei de Amarelo,341,6,4,569,4,Suspense,Feminino,Baixa
Rick Riordan,A Casa de Hades,296,76,16,1,47,Suspense,Feminino,Baixa
Gillian Flynn,Garota Exemplar,1,25,43,2,36,"O Problema É: Se Não Foi Nick, Onde Está Amy? E Por Que Todas As Pistas Apontam Para Ele?Suspense E Mistério",Feminino,Baixa
Rick Riordan,A Marca de Atena,472,90,56,1,57,Suspense,Feminino,Baixa
Stephen Rebello ,Alfred Hitchcock e os bastidores de Psicose,25,2,761,43,590,Suspense,Feminino,Baixa
Elizabeth Haynes,No Escuro,72,2,4,121,4,Suspense,Feminino,Baixa
Gillian Flynn,Garota Exemplar,1,25,43,2,36,"O Problema É: Se Não Foi Nick, Onde Está Amy? E Por Que Todas As Pistas Apontam Para Ele?Suspense E Mistério",Feminino,Baixa
Franck Thilliez,A Síndrome E,28,0,1,47,1,Suspense,Feminino,Baixa
Don Winslow,Kings of Cool,14,0,314,15,263,Suspense,Feminino,Baixa
Franck Thilliez,Gataca,5,1,987,29,595,Suspense,Feminino,Baixa
Elizabeth Haynes,Vingança da Maré,28,1,1,31,779,Suspense,Feminino,Baixa
Herman Koch,O Jantar,24,1,935,33,888,Suspense,Feminino,Baixa
Becca Fitzpatrick,Finale,313,41,13,658,33,Suspense,Feminino,Baixa
Stephenie Meyer,Amanhecer,3,469,13,1,276,Suspense,Feminino,Baixa
Erin Morgenstern,O Circo da Noite,377,11,8,394,6,Suspense,Feminino,Baixa
Cara Hoffman,Tão Mais Bonita,60,1,864,33,419,Suspense,Feminino,Baixa
Tom Perrotta,Os deixados para trás,70,1,1,93,976,Suspense,Feminino,Baixa
Tom Perrotta,Os deixados para trás,70,1,1,93,976,Suspense,Feminino,Baixa
Erin Morgenstern,O Circo da Noite,377,11,8,394,6,Suspense,Feminino,Baixa
Don Winslow,Selvagens,90,3,1,58,1,Suspense,Feminino,Baixa
Antonio Mendez,Argo,78,2,917,55,794,Suspense,Feminino,Baixa
Stephenie Meyer,Amanhecer,3,469,13,1,276,Suspense,Feminino,Baixa
Lars Kepler,O Pesadelo,47,1,1,68,1,Suspense,Feminino,Baixa
Lars Kepler,O Hipnotista,127,1,2,166,3,Suspense,Feminino,Baixa
Gordon Reece,Ratos,36,3,2,74,2,Suspense,Feminino,Baixa
Rebecca James,Bela Maldade,71,3,3,95,5,Suspense,Feminino,Baixa
Stephenie Meyer,Amanhecer,3,469,13,1,276,Suspense,Feminino,Baixa
Stephenie Meyer,Amanhecer,3,469,13,1,276,Suspense,Feminino,Baixa
R. J. Ellory ,Uma Crença Silenciosa em Anjos,72,1,1,74,1,Suspense,Feminino,Baixa
Stephenie Meyer,Amanhecer,3,469,13,1,276,Suspense,Feminino,Baixa
Stephenie Meyer,Amanhecer ,3,469,13,1,276,Suspense,Feminino,Baixa
Christian Jungersen,A exceção,25,0,237,15,275,Suspense,Feminino,Baixa
Paulo Coelho,O Demônio e a Srta. Prym,317,17,1,95,15,Suspense,Feminino,Baixa
Joe Hill,O Pacto,283,13,5,290,8,Suspense,Feminino,Baixa
Anne Fortier,Julieta,356,22,4,415,8,Suspense,Feminino,Baixa
Dan Brown,O Símbolo Perdido,1,112,66,2,129,Suspense,Feminino,Baixa
Dan Brown,O Símbolo Perdido,1,112,66,2,129,Suspense,Feminino,Baixa
Dan Brown,Anjos e Demônios,2,131,65,2,207,Suspense,Feminino,Baixa
Harlan Coben,Confie em Mim,243,19,9,480,19,Suspense,Feminino,Baixa
Dan Brown,O Símbolo Perdido,1,112,66,2,129,Suspense,Feminino,Baixa
Harlan Coben,Não Conte a Ninguém,391,29,13,873,32,Suspense,Feminino,Baixa
Harlan Coben,Desaparecido Para Sempre,122,13,6,294,11,Suspense,Feminino,Baixa
Dan Brown,O Símbolo Perdido,1,112,66,2,129,Suspense,Feminino,Baixa
James Clavell,Xógum,92,19,1,133,2,Suspense,Feminino,Baixa
Jeffrey Archer,Caim e Abel,18,4,382,22,1,Suspense,Feminino,Baixa
Dan Brown,Ponto de Impacto,1,38,33,1,92,Suspense,Feminino,Baixa
Dan Brown,Anjos e Demônios,2,131,65,2,207,Suspense,Feminino,Baixa
Dan Brown,O Código Da Vinci,4,179,75,2,276,Suspense,Feminino,Baixa
Dan Brown,Ponto de Impacto,1,38,33,1,92,Suspense,Feminino,Baixa
Dan Brown,O Código Da Vinci,4,179,75,2,276,Suspense,Feminino,Baixa
Dan Brown,Anjos e Demônios,2,131,65,2,207,Suspense,Feminino,Baixa
Jason Matthews,Palácio da traição,4,1,976,12,44,Suspense,Feminino,Baixa
Harlan Coben,Não Há Segunda Chance,5,1,3,50,1,Suspense,Feminino,Baixa
Harlan Coben,Não fale com estranhos,46,3,4,196,4,Suspense,Feminino,Baixa
Kate Morton,A prisioneira do tempo,8,0,1,43,149,Suspense,Feminino,Baixa
Camilla Läckberg,A Gaiola de Ouro,6,1,2,46,697,Suspense,Feminino,Baixa
Harlan Coben,Custe O Que Custar,0,0,556,23,101,Suspense,Feminino,Baixa
Harlan Coben,Desaparecido para Sempre,122,13,6,294,11,Suspense,Feminino,Baixa
Harlan Coben,Custe O Que Custar,0,0,556,23,101,Suspense,Feminino,Baixa
Dan Brown,A Origem,155,15,8,931,11,Suspense,Feminino,Baixa
M.A. Bennett,A Caça,12,0,2,44,694,Suspense,Feminino,Baixa
Harlan Coben,Até o Fim,5,0,2,65,1,Suspense,Feminino,Baixa
Lucinda Riley,A Carta Secreta,6,0,1,33,665,Suspense,Feminino,Baixa
Ken Follett,Tripla espionagem,5,1,1,30,593,Suspense,Feminino,Baixa
Harlan Coben,Não conte a ninguém,391,29,13,873,32,Suspense,Feminino,Baixa
Harlan Coben,Quando ela se foi,141,13,5,268,10,Suspense,Feminino,Baixa
Daniel Cole,Marionete,1,0,1,42,406,Suspense,Feminino,Baixa
Harlan Coben,Alta Tensão,122,5,5,224,7,Suspense,Feminino,Baixa
Harlan Coben,Confie em Mim,243,19,9,480,19,Suspense,Feminino,Baixa
John Grisham,A Firma,26,1,1,71,2,Suspense,Feminino,Baixa
