autor,qtd_livros,total_avaliacoes,media_avaliacao
Jane Shemilt,1.0,343.0,3.6
Janet Evanovich,1.0,49.0,4.1
Janethe Fontes,1.0,270.0,4.1
Jason Matthews,3.0,38.0,3.9894736842105267
Jason Reynolds,1.0,6.0,3.7000000000000006
Jeff Lindsay,10.0,986.0,3.8847870182555777
Jeffrey Archer,1.0,646.0,4.4
Jennifer L. Armentrout,1.0,3.0,4.2
Jesse Lasky,1.0,365.0,3.8
Jessica Knoll,1.0,111.0,3.2999999999999994
Jessica Warman,1.0,373.0,4.0
Joaquim Manuel de Macedo,1.0,444.0,3.7999999999999994
Joe Books,1.0,18.0,3.7999999999999994
Joe Hill,6.0,211.0,3.8189573459715636
John Bellairs,1.0,422.0,3.6
John Grisham,9.0,2613.0,3.850516647531572
John Sandford,3.0,641.0,3.5313572542901714
John Updike,1.0,51.0,3.4
Jonathan Maberry,1.0,123.0,3.7
Joseph Finder,1.0,57.0,4.1
Josh Bazell,1.0,27.0,3.1
Josh Malerman,7.0,523.0,3.8175908221797332
José Flávio Morais,1.0,9.0,3.7000000000000006
José Geraldo Vieira,2.0,86.0,4.3
Joy Fielding,2.0,46.0,3.991304347826087
Joël Dicker,3.0,68.0,4.591176470588235
Julian Barnes ,1.0,31.0,3.8
Júlio Verne,4.0,125.0,3.7488
Kami Garcia,3.0,559.0,3.956887298747764
Kanae Minato,2.0,237.0,3.9008438818565403
Karen Cleveland,1.0,160.0,3.9
Karen Dionne,1.0,1.0,3.8
Karen Hamilton,1.0,74.0,3.4
Karen M. McManus,2.0,8.0,4.0
Karin Slaughter,7.0,1645.0,4.095927051671732
Kate Elizabeth Russell,1.0,2.0,4.3
Kate Morton,4.0,1686.0,4.380130486358244
Katherine Neville,1.0,725.0,4.1
Ken Follett,9.0,3491.0,4.000945287883128
Kerry Lonsdale,2.0,141.0,3.9
Kimberly Knight,1.0,48.0,3.7000000000000006
Kimberly McCreight,1.0,2.0,4.2
Kristin Cast,1.0,1.0,3.3
