titulo,autor,editora,media_avaliacao,total_avaliacoes,genero_literario,grau_popularidade
3º Grau,James Patterson,Rocco,4.2,339,Suspense,Baixa
A Vida Que Enterramos,Allen Eskens,Intrínseca,4.2,471,Suspense,Baixa
A Vida Que Enterramos,Allen Eskens,Intrínseca,4.2,471,Suspense,Baixa
Estonteantes,Sara Shepard,Rocco,4.1,500,Suspense,Baixa
O Evangelho de Sangue,James Rollins,Rocco,4.1,177,Suspense,Baixa
Traiçoeiras,Sara Shepard,Rocco,4.1,810,Suspense,Baixa
Um Cântico de Natal: e Outras Histórias,Charles Dickens,Martin,4.1,265,Suspense,Baixa
Crimes em Primeiro Grau,Joseph Finder,Rocco,4.1,57,Suspense,Baixa
O Caçador de Andróides,Philip K. Dick,Rocco,4.1,831,Suspense,Baixa
O Enigma do Oito,Katherine Neville,Rocco,4.1,725,Suspense,Baixa
O Código Da Vinci,Dan Brown,Sextante,4.1,79,Suspense,Baixa
A prisioneira do tempo,Kate Morton,Editora,4.1,137,Suspense,Baixa
O Código Da Vinci,Dan Brown,Sextante,4.1,79,Suspense,Baixa
Gritos do Passado,Camilla Läckberg,Planeta,4.1,413,Suspense,Baixa
Perguntaram-me Se Acredito Em Deus,Rubem Alves,Planeta,4.1,324,Suspense,Baixa
Príncipe Lestat e Os Reinos de Atlântida,Anne Rice,Rocco,4.1,95,Suspense,Baixa
Letal,Sandra Brown,Rocco,4.1,109,Suspense,Baixa
Os Amadores,Sara Shepard,Rocco,4.1,56,Suspense,Baixa
A Grande Arte,Rubem Fonseca,Planeta,4.1,888,Suspense,Baixa
Metrô 2033,Dmitry Glukhovsky,Planeta,4.1,594,Suspense,Baixa
Perguntaram-me se Acredito em Deus,Rubem Alves,Planeta,4.1,324,Suspense,Baixa
"Emily, The Strange: Os Dias Perdidos",Rob Reger,Galera,4.1,370,Suspense,Baixa
7° Céu,James Patterson,Arqueiro,4.1,520,Suspense,Baixa
O Código Da Vinci,Dan Brown,Arqueiro,4.1,79,Suspense,Baixa
8ª Confissão,James Patterson,Arqueiro,4.1,342,Suspense,Baixa
"Corra, Alex Cross",James Patterson,Arqueiro,4.1,325,Suspense,Baixa
Mate o Próximo,Federico Axat,Verus,4.1,314,Suspense,Baixa
Nocte,Courtney Cole,Verus,4.1,249,Suspense,Baixa
A Garota Desaparecida,Lisa Gardner,Gutenberg,4.1,530,Suspense,Baixa
Sangue Frio,Robert Bryndza,Gutenberg,4.1,470,Suspense,Baixa
O Código Da Vinci,Dan Brown,Arqueiro,4.1,79,Suspense,Baixa
Uma Crença Silenciosa em Anjos,R. J. Ellory ,Intrínseca,4.1,880,Suspense,Baixa
Kings of Cool,Don Winslow,Intrínseca,4.1,202,Suspense,Baixa
Alfred Hitchcock e os bastidores de Psicose,Stephen Rebello ,Intrínseca,4.1,395,Suspense,Baixa
A Síndrome E,Franck Thilliez,Intrínseca,4.1,825,Suspense,Baixa
Um Milhão de Mundos Com Você,Claudia Gray,HarperCollins,4.1,701,Suspense,Baixa
A Última Viúva,Karin Slaughter,HarperCollins,4.1,431,Suspense,Baixa
O Inverno de Frankie Machine,Don Winslow,Intrínseca,4.1,147,Suspense,Baixa
Runner,Patrick Lee,Universo,4.1,75,Suspense,Baixa
Vítimas do Silêncio,Janethe Fontes,Universo,4.1,270,Suspense,Baixa
Ben-Hur,Lewis Wallace,Martin,4.0,731,Suspense,Baixa
Raízes do Mal,Gwenda Bond,Intrínseca,4.0,892,Suspense,Baixa
O Dossiê Pelicano,John Grisham,Rocco,4.0,955,Suspense,Baixa
Implacáveis,Sara Shepard,Rocco,4.0,676,Suspense,Baixa
O Círculo Matarese,Robert Ludlum,Rocco,4.0,92,Suspense,Baixa
A Troca,Sandra Brown,Rocco,4.0,115,Suspense,Baixa
O Artista da Morte,Daniel Silva,Rocco,4.0,96,Suspense,Baixa
Código Explosivo,Ken Follett,Rocco,4.0,532,Suspense,Baixa
Retrato de Uma Espiã,Daniel Silva,Arqueiro,4.0,141,Suspense,Baixa
O Álibi,Sandra Brown,Rocco,4.0,234,Suspense,Baixa
Devastadoras,Sara Shepard,Rocco,4.0,444,Suspense,Baixa
O Ladrão de Casaca,Maurice Leblanc,Martin,4.0,547,Suspense,Baixa
Os Segredos Mais Secretos das Pretty Little Liars,Sara Shepard,Rocco,4.0,748,Suspense,Baixa
As Viúvas,Lynda La Plante,Intrínseca,4.0,288,Suspense,Baixa
Irene,James Ellroy,Universo,4.0,141,Suspense,Baixa
Marionete,Daniel Cole,Arqueiro,4.0,348,Suspense,Baixa
Terra Sem Lei,John Sandford,Arqueiro,4.0,111,Suspense,Baixa
"Emily, The Strange: Duas Vezes Estranha",Rob Reger,Galera,4.0,84,Suspense,Baixa
Limiar,Jessica Warman,Galera,4.0,373,Suspense,Baixa
Silenciadas,Kristina Ohlsson,Gutenberg,4.0,183,Suspense,Baixa
O Homem de São Petersburgo,Ken Follett,Arqueiro,4.0,829,Suspense,Baixa
O Caso Rembrandt,Daniel Silva,Arqueiro,4.0,260,Suspense,Baixa
Contagem Regressiva,Ken Follett,Arqueiro,4.0,532,Suspense,Baixa
Indesejadas,Kristina Ohlsson,Gutenberg,4.0,396,Suspense,Baixa
Dexter em Cena,Jeff Lindsay,Planeta,4.0,574,Suspense,Baixa
Tudo Que Você Quiser Que Eu Seja,Mindy Mejia,Rocco,4.0,159,Suspense,Baixa
Sangue Inocente,James Rollins,Rocco,4.0,70,Suspense,Baixa
Pines,Blake Crouch,Planeta,4.0,605,Suspense,Baixa
5º Cavaleiro,James Patterson,Arqueiro,4.0,857,Suspense,Baixa
Cordialmente Cruel,Maureen Johnson,HarperCollins,4.0,458,Suspense,Baixa
Areia Movediça,Malin Persson Giolito,Intrínseca,3.9,557,Suspense,Baixa
Festa de Halloween,R. L. Stine,Rocco,3.9,276,Suspense,Baixa
O Grito Silencioso,Diane Hoh,Rocco,3.9,111,Suspense,Baixa
Noite Eterna,Chuck Hogan,Rocco,3.9,738,Suspense,Baixa
Latitudes Piratas,Michael Crichton,Rocco,3.9,73,Suspense,Baixa
O demônio na Cidade Branca,Erik Larson,Intrínseca,3.9,284,Suspense,Baixa
Um Desafio para Cross,James Patterson,Rocco,3.9,207,Suspense,Baixa
O Artífice,Tony Ferraz,Universo,3.9,178,Suspense,Baixa
À Beira da Eternidade,Melissa E. Hurst,Galera,3.9,184,Suspense,Baixa
Inquebrável ,Kami Garcia,Galera,3.9,336,Suspense,Baixa
Tudo O Que Restou,Kerry Lonsdale,Universo,3.9,112,Suspense,Baixa
A Trilogia de Nova Iorque,Paul Auster,Planeta,3.9,596,Suspense,Baixa
Tom Jones,Henry Fielding,Rocco,3.9,268,Suspense,Baixa
Tripla espionagem,Ken Follett,Editora,3.9,339,Suspense,Baixa
A Chave de Rebecca,Ken Follett,Arqueiro,3.9,726,Suspense,Baixa
6º Alvo,James Patterson,Arqueiro,3.9,474,Suspense,Baixa
O Golpe,Christopher Reich,Arqueiro,3.9,59,Suspense,Baixa
Penitência,Kanae Minato,Gutenberg,3.9,236,Suspense,Baixa
A Princesa de Gelo,Camilla Läckberg,Planeta,3.9,722,Suspense,Baixa
Agente do Caos,Kami Garcia,HarperCollins,3.9,117,Suspense,Baixa
Amanhecer,Stephenie Meyer,Intrínseca,3.9,82,Suspense,Baixa
Vejo Vocês em Breve,Mary Higgins Clark,Rocco,3.9,188,Suspense,Baixa
Rosas de Maio,Dot Hutchison,Planeta,3.9,275,Suspense,Baixa
O Sócio,John Grisham,Rocco,3.9,672,Suspense,Baixa
A Gaiola de Ouro,Camilla Läckberg,Arqueiro,3.9,671,Suspense,Baixa
Amanhecer,Stephenie Meyer,Intrínseca,3.9,82,Suspense,Baixa
Amanhecer,Stephenie Meyer,Intrínseca,3.9,82,Suspense,Baixa
Preciso Saber,Karen Cleveland,Planeta,3.9,160,Suspense,Baixa
Cidade nas Trevas,Adam Christopher,Intrínseca,3.9,157,Suspense,Baixa
Amanhecer,Stephenie Meyer,Intrínseca,3.9,82,Suspense,Baixa
Amanhecer,Stephenie Meyer,Intrínseca,3.9,82,Suspense,Baixa
Amanhecer ,Stephenie Meyer,Intrínseca,3.9,82,Suspense,Baixa
Território Lovecraft,Matt Ruff,Intrínseca,3.8,950,Suspense,Baixa
O Servo dos Ossos,Anne Rice,Rocco,3.8,528,Suspense,Baixa
O Desgosto de August,Brittany Cavallaro,Rocco,3.8,70,Suspense,Baixa
Corrupt,Penelope Douglas,The,3.8,536,Suspense,Baixa
Selvagens,Don Winslow,Intrínseca,3.8,987,Suspense,Baixa
O Caso Caravaggio ,Daniel Silva,Harper,3.8,157,Suspense,Baixa
O Fio do Bisturi,Tess Gerritsen,HarperCollins,3.8,947,Suspense,Baixa
Um caso de necessidade,Michael Crichton,Rocco,3.8,75,Suspense,Baixa
Um Estudo em Charlotte,Brittany Cavallaro,Rocco,3.8,859,Suspense,Baixa
O Moço Loiro,Joaquim Manuel de Macedo,Martin,3.8,444,Suspense,Baixa
Zoo,James Patterson,Editora,3.8,665,Suspense,Baixa
Homeland: Como Tudo Começou,Andrew Kaplan,Intrínseca,3.8,256,Suspense,Baixa
